axis_a,axis_a_from,axis_a_to,axis_b,axis_b_from,axis_b_to,reference,budget_mode,difference_in_differences,interaction_scope,selection,regularization
regularization,fixed_c1,train_cv,selection,ood_test,id_val,"selection
    customary
Name: 0, dtype: object","selection
    equal_count
Name: 0, dtype: object",-0.009568644851664683,individual_paired_cell,,
regularization,fixed_c1,train_cv,selection,ood_test,id_val,"selection
    customary
Name: 1, dtype: object","selection
    native
Name: 1, dtype: object",-0.00791058655240218,individual_paired_cell,,
regularization,fixed_c1,train_cv,selection,ood_test,id_val,"selection
    extended
Name: 2, dtype: object","selection
    equal_count
Name: 2, dtype: object",0.008179142721441194,individual_paired_cell,,
regularization,fixed_c1,train_cv,selection,ood_test,id_val,"selection
    extended
Name: 3, dtype: object","selection
    native
Name: 3, dtype: object",0.009431797436107127,individual_paired_cell,,
regularization,fixed_c1,train_cv,reference,customary,extended,,"reference
    equal_count
Name: 0, dtype: object",0.02234956382501909,individual_paired_cell,"reference
    id_val
Name: 0, dtype: object",
regularization,fixed_c1,train_cv,reference,customary,extended,,"reference
    native
Name: 1, dtype: object",0.02306860147945211,individual_paired_cell,"reference
    id_val
Name: 1, dtype: object",
regularization,fixed_c1,train_cv,reference,customary,extended,,"reference
    equal_count
Name: 2, dtype: object",0.004601776251913218,individual_paired_cell,"reference
    ood_test
Name: 2, dtype: object",
regularization,fixed_c1,train_cv,reference,customary,extended,,"reference
    native
Name: 3, dtype: object",0.0057262174909428025,individual_paired_cell,"reference
    ood_test
Name: 3, dtype: object",
regularization,fixed_c1,train_cv,budget_mode,native,equal_count,"budget_mode
    customary
Name: 0, dtype: object",,-0.0010302062332095945,individual_paired_cell,"budget_mode
    id_val
Name: 0, dtype: object",
regularization,fixed_c1,train_cv,budget_mode,native,equal_count,"budget_mode
    extended
Name: 1, dtype: object",,-0.0017492438876426106,individual_paired_cell,"budget_mode
    id_val
Name: 1, dtype: object",
regularization,fixed_c1,train_cv,budget_mode,native,equal_count,"budget_mode
    customary
Name: 2, dtype: object",,0.0006278520660529079,individual_paired_cell,"budget_mode
    ood_test
Name: 2, dtype: object",
regularization,fixed_c1,train_cv,budget_mode,native,equal_count,"budget_mode
    extended
Name: 3, dtype: object",,-0.0004965891729766766,individual_paired_cell,"budget_mode
    ood_test
Name: 3, dtype: object",
selection,ood_test,id_val,reference,customary,extended,,"reference
    equal_count
Name: 0, dtype: object",-0.011204308129928906,individual_paired_cell,,"reference
    fixed_c1
Name: 0, dtype: object"
selection,ood_test,id_val,reference,customary,extended,,"reference
    native
Name: 1, dtype: object",-0.005601822569255455,individual_paired_cell,,"reference
    fixed_c1
Name: 1, dtype: object"
selection,ood_test,id_val,reference,customary,extended,,"reference
    equal_count
Name: 2, dtype: object",0.0065434794431769696,individual_paired_cell,,"reference
    train_cv
Name: 2, dtype: object"
selection,ood_test,id_val,reference,customary,extended,,"reference
    native
Name: 3, dtype: object",0.01174056141925385,individual_paired_cell,,"reference
    train_cv
Name: 3, dtype: object"
selection,ood_test,id_val,budget_mode,native,equal_count,"budget_mode
    customary
Name: 0, dtype: object",,0.003672701357681612,individual_paired_cell,,"budget_mode
    fixed_c1
Name: 0, dtype: object"
selection,ood_test,id_val,budget_mode,native,equal_count,"budget_mode
    extended
Name: 1, dtype: object",,-0.001929784202991837,individual_paired_cell,,"budget_mode
    fixed_c1
Name: 1, dtype: object"
selection,ood_test,id_val,budget_mode,native,equal_count,"budget_mode
    customary
Name: 2, dtype: object",,0.00201464305841911,individual_paired_cell,,"budget_mode
    train_cv
Name: 2, dtype: object"
selection,ood_test,id_val,budget_mode,native,equal_count,"budget_mode
    extended
Name: 3, dtype: object",,-0.003182438917657771,individual_paired_cell,,"budget_mode
    train_cv
Name: 3, dtype: object"
reference,customary,extended,budget_mode,native,equal_count,,,0.0010905742476942995,individual_paired_cell,"budget_mode
    id_val
Name: 0, dtype: object","budget_mode
    fixed_c1
Name: 0, dtype: object"
reference,customary,extended,budget_mode,native,equal_count,,,0.006693059808367747,individual_paired_cell,"budget_mode
    ood_test
Name: 1, dtype: object","budget_mode
    fixed_c1
Name: 1, dtype: object"
reference,customary,extended,budget_mode,native,equal_count,,,0.00037153659326128255,individual_paired_cell,"budget_mode
    id_val
Name: 2, dtype: object","budget_mode
    train_cv
Name: 2, dtype: object"
reference,customary,extended,budget_mode,native,equal_count,,,0.0055686185693381626,individual_paired_cell,"budget_mode
    ood_test
Name: 3, dtype: object","budget_mode
    train_cv
Name: 3, dtype: object"
reference,customary,extended,budget_mode,native,equal_count,,,0.003430947304665373,mean_over_remaining_factorial_axes,,
regularization,fixed_c1,train_cv,budget_mode,native,equal_count,,,-0.0006620468069439935,mean_over_remaining_factorial_axes,,
regularization,fixed_c1,train_cv,reference,customary,extended,,,0.013936539761831805,mean_over_remaining_factorial_axes,,
regularization,fixed_c1,train_cv,selection,ood_test,id_val,,,3.2927188370364315e-05,mean_over_remaining_factorial_axes,,
selection,ood_test,id_val,budget_mode,native,equal_count,,,0.00014378032386277843,mean_over_remaining_factorial_axes,,
selection,ood_test,id_val,reference,customary,extended,,,0.0003694775408116151,mean_over_remaining_factorial_axes,,
